CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
140MD8EC10;140MD8EC10;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MH8PB70;140MH8PB70;F 32;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MH8PC30;140MH8PC30;F 32;11;0;ALLEN BRADLEY;;;#N/D;;11;0;
140MH8PD10;140MH8PD10;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MI8ED16CX;140MI8ED16CX;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140MPAAFA11;140MPAAFA11;F 26;90;0;ALLEN BRADLEY;;;#N/D;;90;0;
140N11;140N11;F 26;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
140NW23;140NW23;F 26;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
140UD6D2B30;140UD6D2B30;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UD6D2C30;140UD6D2C30;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UGRVM12B;140UGRVM12B;F 32;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UH3C3C50;140UH3C3C50;F 32;7;0;ALLEN BRADLEY;;;#N/D;;7;0;
140UHEA1;140UHEA1;F 32;14;0;ALLEN BRADLEY;;;#N/D;;14;0;
140UHEA1R1;140UHEA1R1;F 32;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
140UHRCR;140UHRCR;F 32;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
140UHRM12B;140UHRM12B;F 33;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
140UHS4;140UHS4;F 26;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UHTS;140UHTS;F 31;9;0;ALLEN BRADLEY;;;#N/D;;9;0;
140UJ3X3;140UJ3X3;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UJECM;140UJECM;F 31;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UJRM12B;140UJRM12B;F 33;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UJTL3C50;140UJTL3C50;F 32;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UJTLS1;140UJTLS1;F 31;17;0;ALLEN BRADLEY;;;#N/D;;17;0;
140ULECM;140ULECM;F 31;9;0;ALLEN BRADLEY;;;#N/D;;9;0;
140UMTD3D70;140UMTD3D70;F 25;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
140UNRM12B;140UNRM12B;F 43;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
140UPB;140UPB;F 26;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
140UPY;140UPY;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1426DM;1426DM;F 39;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1443CBL-MS2IBC-32S;1443CBL-MS2IBC-32S;F 54;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1485ACAP;1485ACAP;F 55;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1485AT1N5;1485AT1N5;F 55;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
1485CP1A100;1485CP1A100;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1485CP1A150;1485CP1A150;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1485CP1C50A;1485CP1C50A;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1485GP4N5C;1485GP4N5C;F;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1485GP5N5C;1485GP5N5C;F;12;0;ALLEN BRADLEY;;;#N/D;;12;0;
1485PP1E4R5;1485PP1E4R5;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1485PP1E4S;1485PP1E4S;F;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1485PP1H4R5;1485PP1H4R5;F 55;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1485PP1N5MN5R1;1485PP1N5MN5R1;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1485PP2T5T5;1485PP2T5T5;F;0;0;ALLEN BRADLEY;;01 PÇ NO OBSOLETO;#N/D;;0;0;
1485RP2M5C;1485RP2M5C;F;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1485RP3V5C;1485RP3V5C;F;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1485RP5M5R5;1485RP5M5R5;F;4;0;ALLEN BRADLEY;;;#N/D;;4;0;
1485RP6M5C;1485RP6M5C;F;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1485RSP2M5C;1485RSP2M5C;F;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1489A3D060;1489A3D060;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1489M1C030;1489M1C030;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1489M1C050;1489M1C050;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1489M1C200;1489M1C200;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1489M1D130;1489M1D130;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492AIFM6S3;1492AIFM6S3;F 39;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1492ASPCL306;1492ASPCL306;F 20;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1492ASPH3;1492ASPH3;F 20;0;0;ALLEN BRADLEY;;;#N/D;;0;0;
1492ASPLOA;1492ASPLOA;F 39;115;0;ALLEN BRADLEY;;;#N/D;;115;0;
1492CABLE010X;1492CABLE010X;F 54;1;0;ALLEN BRADLEY;;F\CX;#N/D;;1;0;
1492CABLE025C;1492CABLE025C;F 63;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492CABLE050A;1492CABLE050A;F;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492CJ610;1492CJ610;F 21;60;0;ALLEN BRADLEY;;;#N/D;;60;0;
1492CJJ510;1492CJJ510;F;29;0;ALLEN BRADLEY;;;#N/D;;29;0;
1492CJJ62;1492CJJ62;F 21;33;0;ALLEN BRADLEY;;;#N/D;;33;0;
1492CJK54;1492CJK54;F 21;120;0;ALLEN BRADLEY;;;#N/D;;120;0;
1492CJK62;1492CJK62;F 20;331;0;ALLEN BRADLEY;;;#N/D;;331;0;
1492CM1771LD007;1492CM1771LD007;F 21;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492DN3TW;1492DN3TW;F 21;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492EAJ35;1492EAJ35;F 21;0;0;ALLEN BRADLEY;;;#N/D;;7;7;
1492EB3;1492EB3;F 21;104;0;ALLEN BRADLEY;;;#N/D;;104;0;
1492EB3Y;1492EB3Y;F 20;100;0;ALLEN BRADLEY;;;#N/D;;100;0;
